YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,BP12,63,401
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,DT7,2050,2492
2026-03,WEEKDAY,15,TRAIN,SE4,2948,4326
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,EW14/NS26,1187,3541
2026-03,WEEKDAY,22,TRAIN,EW14/NS26,43839,6363
2026-03,WEEKDAY,11,TRAIN,NE4/DT19,41026,81689
2026-03,WEEKDAY,0,TRAIN,SE2,52,759
2026-03,WEEKDAY,13,TRAIN,EW12/DT14,73187,73750
2026-03,WEEKDAY,17,TRAIN,EW25,17422,29850
2026-03,WEEKDAY,5,TRAIN,DT13,630,103
2026-03,WEEKDAY,8,TRAIN,DT31,40439,15277
2026-03,WEEKDAY,13,TRAIN,CC2,4554,6735
2026-03,WEEKDAY,0,TRAIN,NS13,1425,8498
2026-03,WEEKENDS/HOLIDAY,22,TRAIN,SW8,226,837
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,TE14/NS22,28102,61303
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,DT17,82,64
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,SW5,848,46
2026-03,WEEKDAY,18,TRAIN,CC25,26164,12968
2026-03,WEEKDAY,0,TRAIN,NE16/STC,444,3768
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,BP10,444,1440
2026-03,WEEKDAY,11,TRAIN,DT10,4467,1817
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,DT13,8594,6154
2026-03,WEEKDAY,17,TRAIN,TE19,59034,6078
2026-03,WEEKDAY,7,TRAIN,SE4,12353,2157
2026-03,WEEKDAY,9,TRAIN,NE17/PTC,65083,24736
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,CC2,2935,2375
2026-03,WEEKDAY,11,TRAIN,PE4,2027,929
2026-03,WEEKDAY,11,TRAIN,DT18,12273,18961
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,DT25,2031,1490
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,TE28,2295,1169
2026-03,WEEKDAY,15,TRAIN,EW19,13411,15618
2026-03,WEEKENDS/HOLIDAY,7,TRAIN,DT34,1020,1266
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,TE22,5670,6102
2026-03,WEEKDAY,7,TRAIN,BP9,6871,3280
2026-03,WEEKDAY,19,TRAIN,NE10,22510,32347
2026-03,WEEKDAY,23,TRAIN,NE16/STC,4658,23549
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,NS3,5462,10422
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,CC21,4417,6124
2026-03,WEEKDAY,23,TRAIN,EW15,12579,3019
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,DT34,3,451
2026-03,WEEKDAY,22,TRAIN,CG2,28887,12048
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,SW1,994,1227
2026-03,WEEKDAY,5,TRAIN,DT10,99,91
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,SW8,1035,737
2026-03,WEEKENDS/HOLIDAY,14,TRAIN,DT24,1992,1744
2026-03,WEEKDAY,22,TRAIN,NE14,7842,41425
2026-03,WEEKDAY,13,TRAIN,NE13,23742,20756
2026-03,WEEKDAY,9,TRAIN,CC5,3185,8875
2026-03,WEEKDAY,0,TRAIN,DT23,81,236
2026-03,WEEKDAY,19,TRAIN,EW30,12271,2874
2026-03,WEEKDAY,15,TRAIN,EW7,10730,15455
2026-03,WEEKDAY,0,TRAIN,PW7,92,360
2026-03,WEEKDAY,6,TRAIN,DT21,1781,3197
2026-03,WEEKDAY,14,TRAIN,DT21,8122,9996
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,PE4,378,146
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,DT20,3611,3236
